transmitter_id,transmitter_serial_number,tag_device_project_name,tag_deployment_project_name,transmitter_type,transmitter_sensor_type,transmitter_sensor_slope,transmitter_sensor_intercept,transmitter_sensor_unit,transmitter_estimated_battery_life,transmitter_status,transmitter_deployment_id,species_common_name,species_scientific_name,animal_sex,placement,transmitter_deployment_locality,transmitter_deployment_latitude,transmitter_deployment_longitude,transmitter_deployment_datetime,transmitter_deployment_comments,embargo_date,transmitter_recovery_datetime,transmitter_recovery_latitude,transmitter_recovery_longitude
A69-9001-48595,1583004,"Wenlock River Array, Gulf of Carpentaria","Wenlock River Array, Gulf of Carpentaria",V16,PINGER,,,,3650,DEPLOYED,375994458,Pigeye Shark,Carcharhinus amboinensis,MALE,INTERNAL,Port Musgrave,-11.98421667,141.9360667,2024-11-08 05:15:00,,,,,
A69-9001-48620,1583029,"Wenlock River Array, Gulf of Carpentaria","Wenlock River Array, Gulf of Carpentaria",V16,PINGER,,,,3650,DEPLOYED,375994415,Pigeye Shark,Carcharhinus amboinensis,FEMALE,INTERNAL,Port Musgrave,-11.98471667,141.9376833,2024-11-07 22:47:00,,,,,
A69-9001-48621,1583030,"Wenlock River Array, Gulf of Carpentaria","Wenlock River Array, Gulf of Carpentaria",V16,PINGER,,,,3650,DEPLOYED,375994202,Pigeye Shark,Carcharhinus amboinensis,FEMALE,INTERNAL,Wenlock River,-12.07951667,141.9235,2024-11-03 04:00:00,,,,,
A69-9001-48608,1583017,"Wenlock River Array, Gulf of Carpentaria","Wenlock River Array, Gulf of Carpentaria",V16,PINGER,,,,3650,DEPLOYED,375994234,Pigeye Shark,Carcharhinus amboinensis,FEMALE,INTERNAL,Wenlock River,-12.07863333,141.9239833,2024-11-03 03:28:00,,,,,
A69-9001-48586,1582995,"Wenlock River Array, Gulf of Carpentaria","Wenlock River Array, Gulf of Carpentaria",V16,PINGER,,,,3650,DEPLOYED,323391951,Pigeye Shark,Carcharhinus amboinensis,MALE,INTERNAL,Port Musgrave,-11.956491,141.93956,2024-04-20 00:01:00,,,,,
A69-9001-54409,1547104,"Wenlock River Array, Gulf of Carpentaria","Wenlock River Array, Gulf of Carpentaria",V16,PINGER,,,,3321,DEPLOYED,323392103,Pigeye Shark,Carcharhinus amboinensis,FEMALE,INTERNAL,Port Musgrave,-11.978829,141.9404,2023-10-25 06:30:00,,,,,
